tea,gossip
tmi,too much information
atm,at the moment
hbd,happy birthday
bae,boyfriend/girlfriend
shade,disrespect
extra,over the top
lit,really good
stan,obsessive fan
slay,kill it
receipt,proof
woke,take a stand
clapback,come back
flex,show accomplishments about
ghosted,rejected without concrete explanation
lowkey,chill
highkey,be heard
vibe,get along
sus,suspicious
squad,group of friends
glow_up,staggering transformations
skrt,stop
no_cap,not a lie
on_fleek,on point
trashtalk,insult
TBH,to be honest
realness,authentic
savage,careless attitude
twerk,sexually suggestive
MBTC,more birthdays to come
crib,house
